Cancha,Fecha,Goles,Asistencias,Camiseta,Resultado,Clima,Dia,Rendimiento_General,Cansancio,Estado_Animo,Comentario_Personal
Predio Talleres,20/12/2025 20:00,1,1,Bastard Munchen Hamer 33,DERROTA,Despejado,Noche,7,9,9,Nos Golearon
Predio Talleres,28/12/2025 21:35,0,3,Real Madrid,DERROTA,Despejado,Noche,6,7,8,Perdi chances de gol
